"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CXCL2",0,2.43029608327138,0.844,0.305,0,"0","CXCL2"
"PTX3",0,2.32672405766886,0.429,0.09,0,"0","PTX3"
"CXCL8",0,2.3250354664305,0.797,0.28,0,"0","CXCL8"
"CXCL1",0,2.05804933702179,0.752,0.265,0,"0","CXCL1"
"CXCL3",0,1.98527779743813,0.635,0.163,0,"0","CXCL3"
"CCL2",0,1.97441110666728,0.627,0.18,0,"0","CCL2"
"PTGS2",0,1.88261041520059,0.889,0.359,0,"0","PTGS2"
"ID3",0,1.84580441428705,0.693,0.405,0,"0","ID3"
"G0S2",0,1.83180988833436,0.669,0.189,0,"0","G0S2"
"TIMP1",0,1.74664257823009,0.925,0.533,0,"0","TIMP1"
"IER3",0,1.73604452871948,0.952,0.692,0,"0","IER3"
"SAA1",0,1.72287661067428,0.8,0.294,0,"0","SAA1"
"DCN",0,1.71702375711018,0.942,0.49,0,"0","DCN"
"APOD",0,1.70196021149931,0.922,0.417,0,"0","APOD"
"NNMT",0,1.69893949813334,0.883,0.297,0,"0","NNMT"
"HMOX1",0,1.62250366666326,0.651,0.28,0,"0","HMOX1"
"VIM",0,1.60761893867673,0.956,0.461,0,"0","VIM"
"LUM",0,1.5571058541088,0.852,0.299,0,"0","LUM"
"HSPA6",0,1.55337958888353,0.311,0.113,0,"0","HSPA6"
"CTSL",0,1.54578546256932,0.883,0.457,0,"0","CTSL"
"MMP3",0,1.54343246630375,0.544,0.228,0,"0","MMP3"
"MT2A",0,1.53686306245293,0.969,0.696,0,"0","MT2A"
"PLIN2",0,1.53226418861345,0.736,0.257,0,"0","PLIN2"
"AKR1C2",0,1.51535183253591,0.766,0.358,0,"0","AKR1C2"
"SOD2",0,1.5071633571355,0.909,0.499,0,"0","SOD2"
"RARRES1",0,1.50134686685588,0.745,0.242,0,"0","RARRES1"
"IFITM3",0,1.47271570806546,0.896,0.493,0,"0","IFITM3"
"KERA",0,1.46614362577499,0.625,0.195,0,"0","KERA"
"IRF1",0,1.44372941996048,0.668,0.346,0,"0","IRF1"
"SOD3",0,1.4336616984894,0.884,0.327,0,"0","SOD3"
"PTGDS",0,1.42891111109294,0.909,0.416,0,"0","PTGDS"
"TNFAIP6",0,1.40586098134628,0.535,0.155,0,"0","TNFAIP6"
"FTL",0,1.40435095493256,0.988,0.782,0,"0","FTL"
"HSP90AB1",0,1.39947029157731,0.977,0.735,0,"0","HSP90AB1"
"EMP3",0,1.39718223293069,0.903,0.416,0,"0","EMP3"
"GADD45B",0,1.37512402175618,0.632,0.528,0,"0","GADD45B"
"DNAJA1",0,1.36254356878655,0.916,0.622,0,"0","DNAJA1"
"STEAP4",0,1.36074817614725,0.631,0.216,0,"0","STEAP4"
"HSPA1A",0,1.35189284289852,0.82,0.492,0,"0","HSPA1A"
"WTAP",0,1.31562347427047,0.85,0.591,0,"0","WTAP"
"SERPINE2",0,1.29585463630538,0.785,0.269,0,"0","SERPINE2"
"MT1M",0,1.28256366164325,0.629,0.24,0,"0","MT1M"
"EIF1B",0,1.27956738711304,0.89,0.579,0,"0","EIF1B"
"CYR61",0,1.2792297522986,0.465,0.192,0,"0","CYR61"
"HSPD1",0,1.24822930860649,0.859,0.586,0,"0","HSPD1"
"HSPA8",0,1.24106085423016,0.848,0.554,0,"0","HSPA8"
"AKR1C1",0,1.22982277389362,0.729,0.366,0,"0","AKR1C1"
"HSPA1B",0,1.22629191729458,0.672,0.412,0,"0","HSPA1B"
"UBB",0,1.22511957381582,0.957,0.684,0,"0","UBB"
"TIPARP",0,1.22342833281977,0.802,0.513,0,"0","TIPARP"
"ANXA5",0,1.22239989780964,0.936,0.501,0,"0","ANXA5"
"HSPE1",0,1.20703545165666,0.909,0.597,0,"0","HSPE1"
"IFITM2",0,1.2023736781862,0.785,0.288,0,"0","IFITM2"
"CST3",0,1.19431183205597,0.96,0.744,0,"0","CST3"
"SELENOM",0,1.19235184940564,0.93,0.425,0,"0","SELENOM"
"DNAJB4",0,1.18861382206132,0.514,0.258,0,"0","DNAJB4"
"TNFRSF11B",0,1.18175946117659,0.626,0.183,0,"0","TNFRSF11B"
"SERPINF1",0,1.18065691894292,0.823,0.444,0,"0","SERPINF1"
"FAM107B",0,1.18008496667957,0.798,0.409,0,"0","FAM107B"
"HTRA1",0,1.17294605285398,0.757,0.485,0,"0","HTRA1"
"THBS1",0,1.16896805560825,0.745,0.417,0,"0","THBS1"
"DDIT3",0,1.16662723717428,0.761,0.401,0,"0","DDIT3"
"ITGBL1",0,1.16605299863898,0.727,0.269,0,"0","ITGBL1"
"LUCAT1",0,1.16169061850959,0.484,0.131,0,"0","LUCAT1"
"CEBPD",0,1.14809148237669,0.893,0.626,0,"0","CEBPD"
"NFKBIA",0,1.14365319173139,0.897,0.652,0,"0","NFKBIA"
"HSPH1",0,1.13902472223994,0.75,0.49,0,"0","HSPH1"
"IL32",0,1.13655687264227,0.497,0.148,0,"0","IL32"
